station_id,suburb,road_name,period,traffic_count,wgs84_latitude,wgs84_longitude
1003,Sydney,Sydney Harbour Tunnel,ALL DAYS,89163,-33.860836,151.213791
1003,Sydney,Sydney Harbour Tunnel,AM PEAK,24998,-33.860836,151.213791
1003,Sydney,Sydney Harbour Tunnel,OFF PEAK,43575,-33.860836,151.213791
1003,Sydney,Sydney Harbour Tunnel,PM PEAK,23367,-33.860836,151.213791
2062,Newtown,Enmore Road,ALL DAYS,28335,-33.898201,151.177399
2062,Newtown,Enmore Road,AM PEAK,6526,-33.898201,151.177399
2062,Newtown,Enmore Road,OFF PEAK,14554,-33.898201,151.177399
2062,Newtown,Enmore Road,PM PEAK,7435,-33.898201,151.177399
2309,Alexandria,O'riordan Street,ALL DAYS,25358,-33.907532,151.200974
2309,Alexandria,O'riordan Street,AM PEAK,6625,-33.907532,151.200974
2309,Alexandria,O'riordan Street,OFF PEAK,13409,-33.907532,151.200974
2309,Alexandria,O'riordan Street,PM PEAK,6790,-33.907532,151.200974
2393,Darlinghurst,Crown Street,ALL DAYS,9641,-33.874722,151.216217
2393,Darlinghurst,Crown Street,AM PEAK,2063,-33.874722,151.216217
2393,Darlinghurst,Crown Street,OFF PEAK,5378,-33.874722,151.216217
2393,Darlinghurst,Crown Street,PM PEAK,2276,-33.874722,151.216217
4004,South Grafton,Craig Street,ALL DAYS,23117,-29.697966,152.942108
4004,South Grafton,Craig Street,AM PEAK,5367,-29.697966,152.942108
4004,South Grafton,Craig Street,OFF PEAK,12438,-29.697966,152.942108
4004,South Grafton,Craig Street,PM PEAK,6782,-29.697966,152.942108
5002,Pinny Beach,Pacific Highway,ALL DAYS,19779,-33.100418,151.629105
5002,Pinny Beach,Pacific Highway,AM PEAK,5448,-33.100418,151.629105
5002,Pinny Beach,Pacific Highway,OFF PEAK,8940,-33.100418,151.629105
5002,Pinny Beach,Pacific Highway,PM PEAK,6164,-33.100418,151.629105
5013,Blue Haven,Pacific Highway,ALL DAYS,20324,-33.208641,151.516586
5013,Blue Haven,Pacific Highway,AM PEAK,5277,-33.208641,151.516586
5013,Blue Haven,Pacific Highway,OFF PEAK,10188,-33.208641,151.516586
5013,Blue Haven,Pacific Highway,PM PEAK,6194,-33.208641,151.516586
5150,Millers Forest,Raymond Terrace Road,ALL DAYS,10226,-32.752235,151.72522
5150,Millers Forest,Raymond Terrace Road,AM PEAK,3048,-32.752235,151.72522
5150,Millers Forest,Raymond Terrace Road,OFF PEAK,4774,-32.752235,151.72522
5150,Millers Forest,Raymond Terrace Road,PM PEAK,3518,-32.752235,151.72522
5167,Milbrodale,Putty Road,ALL DAYS,659,-32.694839,150.989945
5167,Milbrodale,Putty Road,AM PEAK,124,-32.694839,150.989945
5167,Milbrodale,Putty Road,OFF PEAK,322,-32.694839,150.989945
5167,Milbrodale,Putty Road,PM PEAK,163,-32.694839,150.989945
5194,Abermain,Cessnock Road,ALL DAYS,15702,-32.821819,151.419708
5194,Abermain,Cessnock Road,AM PEAK,4007,-32.821819,151.419708
5194,Abermain,Cessnock Road,OFF PEAK,7835,-32.821819,151.419708
5194,Abermain,Cessnock Road,PM PEAK,4855,-32.821819,151.419708
5196,Freemans Waterhole,Freemans Drive,ALL DAYS,10226,-32.97062683,151.4822235
5196,Freemans Waterhole,Freemans Drive,AM PEAK,2203,-32.97062683,151.4822235
5196,Freemans Waterhole,Freemans Drive,OFF PEAK,4713,-32.97062683,151.4822235
5196,Freemans Waterhole,Freemans Drive,PM PEAK,2740,-32.97062683,151.4822235
5201,Charlestown,Pacific Highway,ALL DAYS,28005,-32.963619,151.695831
5201,Charlestown,Pacific Highway,AM PEAK,7516,-32.963619,151.695831
5201,Charlestown,Pacific Highway,OFF PEAK,13372,-32.963619,151.695831
5201,Charlestown,Pacific Highway,PM PEAK,9222,-32.963619,151.695831
5204,New Lambton Heights,Lookout Road,ALL DAYS,43060,-32.92556,151.696289
5204,New Lambton Heights,Lookout Road,AM PEAK,11984,-32.92556,151.696289
5204,New Lambton Heights,Lookout Road,OFF PEAK,21656,-32.92556,151.696289
5204,New Lambton Heights,Lookout Road,PM PEAK,13398,-32.92556,151.696289
5207,Waratah,Maud Street,ALL DAYS,18938,-32.896118,151.720154
5207,Waratah,Maud Street,AM PEAK,5085,-32.896118,151.720154
5207,Waratah,Maud Street,OFF PEAK,11081,-32.896118,151.720154
